address.outcode,year_sale,sample_listed_sold,min_listed_sold_percentage,lower_quartile_listed_sold_percentage,median_listed_sold_percentage,mean_listed_sold_percentage,upper_quartile_listed_sold_percentage,max_listed_sold_percentage
AB,2010,20,-22.13114754,-3.355155483,0,0.348707946,5.757859706,11.83048852
AB,2011,64,-90.18867925,-6.015151515,-2.024063736,-5.16678288,2.776785714,49.64964965
AB,2012,69,-19.35483871,-3.703703704,0.031259769,2.481852243,5.087572977,50
AB,2013,129,-67.45625,-4.516129032,-1.041666667,-1.012187266,2.5,63.63636364
AB,2014,190,-54.99774989,-3.464912281,0,1.303642881,4.210236654,71.42857143
AB,2015,205,-51.45631068,-4.166666667,-0.606060606,-1.92793993,0.961538462,43.07692308
AB,2016,268,-80.25,-4.397233202,-1.183473389,-2.035636923,0.275096525,50.15015015
AB,2017,345,-80.66666667,-4.748603352,-1,-2.615532569,0.454545455,94.49694275
AB,2018,468,-53.75,-4.678848283,-1.632897894,-2.615526759,0,36.92307692
AB,2019,745,-76.6,-4,-1.538461538,-2.552628379,0,33.33333333
AB,2020,703,-94.05405405,-3.948051948,0,-1.493284966,1.039136302,37.5
AB,2021,1025,-81.39434818,-2.702702703,0,0.335107531,2.564102564,70
AB,2022,823,-63.07692308,-2.272727273,0,1.043323704,4,48.97959184
AB,2023,44,-35.55555556,-7.203256303,-2.789496341,-1.97767196,1.071428571,63.63636364
DD,2010,15,-14.89361702,-6.799388507,-3.260869565,-1.832468768,1.111111111,27.38853503
DD,2011,86,-68.42105263,-4.782878412,-1.313088109,-0.81049003,3.429777571,34.13413413
DD,2012,114,-90.95238095,-5.555555556,-1.366459627,-3.282807687,0.575293811,25.00781299
DD,2013,141,-54.43037975,-4.545454545,-1.129943503,-1.613222118,2.222222222,23.47826087
DD,2014,236,-84.47488584,-2.369544592,0,-0.242461202,2.47834873,28.20512821
DD,2015,280,-27.08333333,-2.210641597,0,0.096024616,2.134206219,46.66666667
DD,2016,338,-44.06779661,-3.315745293,0,-0.544892085,1.512303486,52.77777778
DD,2017,489,-31.89189189,-1.6,0,0.11647915,2.395367202,33.33333333
DD,2018,601,-93.43515152,-2.325581395,0,-0.418467753,2.272727273,81.42857143
DD,2019,742,-52.56410256,-2.405582923,0,-0.511440189,2,86.68222352
DD,2020,684,-88.68457143,-1.616666667,0,0.426590951,3.203358829,46.2
DD,2021,1083,-50.35460993,0,1.875,2.336584275,5.166852058,37.09677419
DD,2022,936,-87.11731844,0,4,4.336821526,8.240415319,43.81294793
DD,2023,62,-18.33333333,0,0.992063492,2.938803945,5.288461538,35.58823529
DG,2010,65,-53.84615385,-5,-1.337792642,-2.52331437,0,12.05602801
DG,2011,178,-93.93939394,-6.9375,-2.649122807,-4.898098585,0,18
DG,2012,271,-63.125,-7.974895397,-4.285714286,-5.026467267,-1.050744622,87.5
DG,2013,430,-50,-7.142857143,-3.225806452,-3.995996258,0,45.16129032
DG,2014,505,-88.76190476,-6.666666667,-3.388888889,-4.773178078,0,30.03250813
DG,2015,734,-70,-6.045454545,-2.5,-4.019808518,0,74.22012949
DG,2016,919,-80.0025,-5.630188679,-2.5,-3.57717942,0,81.69565217
DG,2017,1093,-67.21407035,-5.072463768,-2.272727273,-3.303366003,0,71.42857143
DG,2018,1090,-69.33333333,-4.539744175,-1.538461538,-2.447363718,0,52
DG,2019,1164,-93.84615385,-3.587662338,0,-1.540753972,0.87944664,57.89473684
